Name,Adress,Type,latitude,longitude,pin code,rating
SRI CHAMARAJENDRA ZOOLOGICAL GARDENS,"Zoo Main Road, Indira Nagar, Ittige Gudu, Mysuru, Karnataka 570010",ZOO,12.3022057,76.6641882,570010,5
APPAJAPPA CIRCLE-  D. RAMASWAMY CIRCLE ,"Vinoba Rd, Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570005",HISTORICAL LANDMARK,12.3106345,76.6462503,570005,5
MYSURU RAIL MUSEUM,"KRS Road, opp. CFTRI, Medar Block, Yadavagiri, Mysuru, Karnataka 570005",RAIL MUSEUM,12.3163393,76.643323,570005,4
SANGHOLLI RAYANNA CIRCLE mysuru,"Sangolli Rayanna Cir, Kurubara Halli, Siddhartha Layout, Mysuru, Karnataka 570010",HISTORICAL PLACE MUSEUM,12.2994393,76.6789782,NA,5
RAJENDRA VILAS PALACE,"Chamundi Hill, Mysuru, Karnataka 570010",HISTORICAL LANDMARK,12.2784334,76.6710513,570010,4
JAYALAKSHMI VILAS MANSION ,"Jayalakshmi Vilas Mansion, University Of mysuru Campus, Mysuru, Mysuru, Mysuru, Karnataka 570006",HISTORICAL LANDMARK,12.3138992,76.6221802,570006,4
REGIONAL MUSEUM OF NATURAL HISTORY mysuru,"T.N.Pura Road, Siddhartha Nagar, opposite Nandini Milk Dairy, Mysuru, Karnataka 570011",MUSEUM,12.3056417,76.6741609,570011,4
MYSURU PALACE,"Sayyaji Rao Rd, Agrahara, Chamrajpura, Mysuru, Karnataka 570001",HISTORICAL PLACE,12.305163,76.6551749,570001,5
,,,,,NA,
,,,,,NA,
